Inbound delivery created this many days after shipment,PO issued on date,Delivery entered by supplier on,PO-line-Conf type,PO-line-Conf type,Vendor,vendor name,Plant,PO Document Date,PO Document,PO Item,Confirmation Number,Confirmation Category,Created by,Purchasing Group,Responsible buyer,Delivery Created by,Created on,Lead Time Code,Confirmed Delivery Date
PO conf,1/3/2020,PO conf,45101804641ABLR9,45101804641AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180464,1,3,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,04/09/2020,F2807,05/01/2020
7,1/3/2020,04/06/2020,45101804642LALR9,45101804642LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180464,2,1,LA,GELECCLCL_BI,531,Zhiqiang Zhou,FDT503013845,04/06/2020,F2807,04/27/2020
PO conf,1/3/2020,PO conf,45101804642ABLR9,45101804642AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180464,2,3,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,04/09/2020,F2807,04/24/2020
PO conf,1/3/2020,PO conf,45101804643ABLR9,45101804643AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180464,3,1,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,04/09/2020,F2807,04/10/2020
3,1/3/2020,03/16/2020,45101804643LALR9,45101804643LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180464,3,2,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,03/16/2020,F2807,04/10/2020
0,1/3/2020,03/23/2020,45101804644LALR9,45101804644LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180464,4,1,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,03/23/2020,F2807,04/20/2020
PO conf,1/3/2020,PO conf,45101804644ABLR9,45101804644AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180464,4,3,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,04/09/2020,F2807,04/17/2020
0,1/3/2020,03/23/2020,45101804645LALR9,45101804645LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180464,5,1,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,03/23/2020,F2807,04/20/2020
PO conf,1/3/2020,PO conf,45101804645ABLR9,45101804645AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180464,5,3,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,04/09/2020,F2807,04/17/2020
PO conf,1/3/2020,PO conf,45101804646ABXXX,45101804646AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180464,6,1,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,04/09/2020,F2807,04/28/2020
